id,presenterDisplayName,duration
528604,"TED, OpenAI and Paul Trillo",110
528604,"TED, OpenAI and Paul Trillo",110
528604,"TED, OpenAI and Paul Trillo",110
528604,"TED, OpenAI and Paul Trillo",110
528604,"TED, OpenAI and Paul Trillo",110
528604,"TED, OpenAI and Paul Trillo",110
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
521815,Geoffrey E. Braswell,312
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
527006,Oral McGuire,670
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
528005, Niceaunties,671
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
526878,Jacqueline Doan and Alex Kazachek,298
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525798,Kelly D. Parker,743
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
525470,Louise Mabulo,420
528011,Mustafa Suleyman,1321
528011,Mustafa Suleyman,1321
528011,Mustafa Suleyman,1321
528011,Mustafa Suleyman,1321
528011,Mustafa Suleyman,1321
